AP1,AP2,AP3,AP4,X,Y
-82,-82,-60,-52,6.3,4.35
-77,-75,-63,-57,6.5,4.35
-78,-75,-63,-57,6.7,4.35
-78,-86,-61,-56,6.9,4.35
-81,-85,-68,-66,7.1,4.35
-76,-83,-63,-60,7.3,4.35
-78,-74,-60,-63,7.5,4.35
-77,-74,-57,-61,7.7,4.35
-80,80,-57,-52,7.9,4.35
-82,-84,-68,-57,8.1,4.35
-78,-81,-63,-66,4.1,4.85
-74,-77,-60,-66,4.3,4.85
-78,-84,-54,-58,4.5,4.85
-84,-82,-58,-63,4.7,4.85
-78,-85,-52,-63,4.9,4.85
-75,-88,-56,-60,5.1,4.85
-85,-86,-59,-60,5.3,4.85
-78,-81,-64,-52,5.5,4.85
-81,-86,-66,-62,5.7,4.85
-88,-84,-63,-57,5.9,4.85
-82,-80,-60,-68,6.1,4.85
-84,-78,-64,-61,6.3,4.85
-82,-86,-66,-50,6.5,4.85
-83,-77,-68,-58,6.7,4.85
-82,-83,-63,-52,6.9,4.85
-80,-86,-75,-50,7.1,4.85
-78,-81,-58,-55,7.3,4.85
-82,-82,-66,-58,7.5,4.85
-84,-84,-68,-64,7.7,4.85
-85,-83,-63,-61,7.9,4.85
-82,-82,-65,-57,8.1,4.85
-83,-83,-72,-65,8.3,4.85
-81,-83,-62,-57,8.5,4.85
-84,-82,-63,-58,8.7,4.85
-85,-84,-70,-65,8.9,4.85
-84,-82,-61,-66,9.1,4.85
-84,-84,-71,-66,9.3,4.85
-88,-85,-68,-65,9.5,4.85
-77,-80,-64,-66,4.1,5.35
-83,-83,-51,-64,4.3,5.35
-78,-81,-66,-63,4.5,5.35
-80,-83,-55,-60,4.7,5.35
-83,-81,-63,-66,4.9,5.35
-83,-84,-60,-69,5.1,5.35
-85,-84,-55,-64,5.3,5.35
-86,-82,-58,-55,5.5,5.35
-84,-83,-60,-55,5.7,5.35
-81,-85,-58,-50,5.9,5.35
-81,-85,-61,-55,6.1,5.35
-77,-82,-60,-62,6.3,5.35
-83,-78,-61,-60,6.5,5.35
-81,-77,-63,-46,6.7,5.35
-81,-84,-64,-47,6.9,5.35
-76,-88,-57,-45,7.1,5.35
-80,-88,-57,-46,7.3,5.35
-82,-78,-65,-43,7.5,5.35
-84,-82,-64,-50,7.7,5.35
-81,-81,-57,-48,7.9,5.35
-79,-83,-68,-61,8.1,5.35
-81,-84,-60,-57,8.3,5.35
-86,-84,-61,-64,8.5,5.35
-82,-85,-69,-60,8.7,5.35
-80,-71,-56,-65,8.9,5.35
-80,-86,-58,-60,9.1,5.35
-81,-78,-52,-60,9.3,5.35
-84,-88,-56,-70,9.5,5.35
-74,-75,-57,-62,4.1,5.85
-76,-82,-63,-66,4.3,5.85
-81,-83,-62,-65,4.5,5.85
-74,-82,-62,-63,4.7,5.85
-77,-82,-64,-58,4.9,5.85
-84,-88,-62,-60,5.1,5.85
-83,-83,-66,-53,5.3,5.85
-74,-83,-58,-65,5.5,5.85
-78,-78,-60,-62,5.7,5.85
